20 157560542
7999129 91694506 339246101
11994436 96381839 661656554
3371311 25685113 696702463
8388203 2098976 820735413
8407562 24348409 683568336
237589 43121009 875577526
7312619 30976569 53605699
11090229 4737159 792299741
11808658 8816587 210227691
8838058 29383561 681846156
3535355 48726860 901856400
12156731 89746536 579271261
5590068 78790168 479055032
7253076 63193923 492923465
2181660 54887127 347112107
2698738 14251919 872115567
6920520 63484536 105036602
7911922 98882522 842629062
8110451 70814024 324946107
4593571 42809734 423894733
